Age,Annual_Income,Spending_Score,Monthly_Visits,Gender,Preferred_Product
56,26102,85,6,Female,Clothing
46,70336,75,18,Male,Home
32,105314,36,10,Male,Groceries
60,46641,99,5,Female,Electronics
25,54584,19,10,Male,Electronics
38,52745,20,12,Male,Electronics
56,43093,57,2,Male,Clothing
36,86105,18,13,Male,Sports
40,71885,47,8,Male,Home
28,56631,49,2,Female,Groceries
28,92991,14,1,Male,Groceries
41,24014,15,5,Male,Clothing
53,31093,31,9,Male,Electronics
57,38070,1,17,Male,Clothing
41,55777,54,9,Female,Sports
20,76958,3,11,Female,Sports
39,102074,16,15,Female,Home
19,30729,87,6,Female,Home
41,119713,57,3,Male,Sports
61,65017,75,17,Female,Sports
47,86320,12,5,Male,Sports
55,47751,74,12,Male,Clothing
19,98069,96,18,Male,Sports
38,74748,16,14,Male,Groceries
50,25801,72,11,Male,Electronics
29,39190,76,9,Female,Sports
39,69689,24,2,Female,Electronics
61,70993,28,12,Female,Clothing
42,49592,8,3,Female,Electronics
44,30647,92,3,Male,Clothing
59,28716,36,1,Female,Groceries
45,108891,90,8,Male,Clothing
33,107545,8,8,Female,Clothing
32,109912,58,11,Male,Home
64,90316,60,9,Male,Sports
61,22368,50,5,Female,Sports
20,97575,28,14,Male,Groceries
54,26655,92,3,Male,Groceries
24,90031,41,5,Female,Sports
38,96429,64,5,Male,Home
26,111083,27,19,Female,Sports
56,107922,63,14,Female,Home
35,75766,17,4,Female,Groceries
21,33403,73,13,Male,Electronics
42,52097,33,10,Male,Groceries
31,98657,84,18,Male,Groceries
26,30966,77,8,Female,Clothing
43,119157,92,8,Male,Clothing
19,113848,29,7,Female,Clothing
37,72921,13,8,Female,Clothing
45,69726,46,14,Male,Home
64,70300,35,19,Female,Sports
24,42677,6,6,Male,Electronics
61,75609,82,1,Male,Groceries
25,116825,69,15,Male,Home
64,76661,47,1,Male,Electronics
52,51024,25,17,Male,Home
31,90313,66,1,Female,Home
34,73006,10,15,Female,Groceries
53,115285,56,2,Female,Sports
57,35338,30,14,Male,Clothing
21,88027,5,8,Male,Sports
19,112772,33,8,Male,Groceries
23,100135,65,19,Female,Groceries
59,39508,18,7,Male,Groceries
21,23051,96,19,Female,Electronics
46,68747,49,6,Female,Sports
35,107142,11,6,Male,Sports
43,107235,85,3,Male,Home
61,74021,26,7,Female,Home
51,86412,63,19,Male,Home
27,78335,89,8,Female,Groceries
53,76179,86,10,Male,Sports
